asset,rated_power_mw,energy_capacity_mwh,load_id,generator_id,valid_from,valid_to,state,county,postcode,latitude,longitude,load_zone,voltage_kv,import_capacity_mw,export_capacity_mw,commissioning_date,tech_type,is_co_located,co_located_type,co_located_mw,zone,owner,qse_id,qse,dme_id,dme,settlement_point_name,integrator,developer,manufacturer
Zier U1,40.08,78.0,ZIER_SLR_LD1,ZIER_SLR_BES1,2024-11-13,2050-01-01,Texas,Kinney,,29.350992,-100.562,south,,,,2024-04-30,Battery,True,Solar,160.0,South,Cypress Creek Renewables,99,TENASKA POWER SERVICES CO,52,CYPRESS CREEK RENEWABLES DME (YZIERS),ZIER_SLR_ALL,,Spearmint Energy,Tesla
Zier U1,40.08,78.0,ZIER_SLR_LD1,ZIER_SLR_BES1,2024-04-30,2024-11-12,Texas,Kinney,,29.350992,-100.562,south,,,,2024-04-30,Battery,True,Solar,160.0,South,Cypress Creek Renewables,56,Tenaska,52,CYPRESS CREEK RENEWABLES DME (YZIERS),ZIER_SLR_ALL,,Spearmint Energy,Tesla
Zapata 2 (DGR),9.9,10.0,ZAPATA_LD2,ZAPATA_UNIT2,2025-07-31,2050-01-01,Texas,Zapata,78076,26.932675,-99.23371,south,,,,2022-02-04,Battery,False,,,South,ENGIE,77,ENGIE ENERGY MARKETING NA INC,39,BRP INTERMEDIATECO I LLC,BRP_ZPT2_RN,,,
Zapata 2 (DGR),9.9,10.0,BRP_ZPT2_LD1,BRP_ZPT2_UNIT1,2024-05-01,2025-07-30,Texas,Zapata,78076,26.932675,-99.23371,south,,,,2022-02-04,Battery,False,,,South,ENGIE,77,ENGIE ENERGY MARKETING NA INC,53,ENGIE,BRP_ZPT2_RN,,,
Zapata 2 (DGR),9.9,10.0,BRP_ZPT2_LD1,BRP_ZPT2_UNIT1,2023-10-09,2024-04-30,Texas,Zapata,78076,26.932675,-99.23371,south,,,,2022-02-04,Battery,False,,,South,ENGIE,54,BROAD REACH QSE I LLC (,39,BRP INTERMEDIATECO I LLC,BRP_ZPT2_RN,,,
Zapata 2 (DGR),9.9,10.0,BRP_ZPT2_LD1,BRP_ZPT2_UNIT1,2023-09-01,2023-10-08,Texas,Zapata,78076,26.932675,-99.23371,south,,,,2022-02-04,Battery,False,,,South,ENGIE,54,BROAD REACH QSE I LLC (,4,BRP INTERMEDIATECO I LLC,BRP_ZPT2_RN,,,
Zapata 2 (DGR),9.9,10.0,BRP_ZPT2_LD1,BRP_ZPT2_UNIT1,2023-04-26,2023-08-31,Texas,Zapata,78076,26.932675,-99.23371,south,,,,2022-02-04,Battery,False,,,South,Broad Reach Power LLC,54,BROAD REACH QSE I LLC (,4,BRP INTERMEDIATECO I LLC,BRP_ZPT2_RN,,,
Zapata 2 (DGR),9.9,10.0,BRP_ZPT2_LD1,BRP_ZPT2_UNIT1,2022-02-04,2023-04-25,Texas,Zapata,78076,26.932675,-99.23371,south,,,,2022-02-04,Battery,False,,,South,Broad Reach Power LLC,7,BROAD REACH QSE,4,BRP INTERMEDIATECO I LLC,BRP_ZPT2_RN,,,
Zapata 1 (DGR),9.9,10.0,ZAPATA_LD1,ZAPATA_UNIT1,2025-07-31,2050-01-01,Texas,Zapata,78076,26.932675,-99.23371,south,,,,2022-02-07,Battery,False,,,South,ENGIE,77,ENGIE ENERGY MARKETING NA INC,39,BRP INTERMEDIATECO I LLC,BRP_ZPT1_RN,,,
Zapata 1 (DGR),9.9,10.0,BRP_ZPT1_LD1,BRP_ZPT1_UNIT1,2024-05-01,2025-07-30,Texas,Zapata,78076,26.932675,-99.23371,south,,,,2022-02-07,Battery,False,,,South,ENGIE,77,ENGIE ENERGY MARKETING NA INC,53,ENGIE,BRP_ZPT1_RN,,,
Zapata 1 (DGR),9.9,10.0,BRP_ZPT1_LD1,BRP_ZPT1_UNIT1,2023-10-09,2024-04-30,Texas,Zapata,78076,26.932675,-99.23371,south,,,,2022-02-07,Battery,False,,,South,ENGIE,54,BROAD REACH QSE I LLC (,39,BRP INTERMEDIATECO I LLC,BRP_ZPT1_RN,,,
